일련번호,상호명,지번주소
20608,이마트24광주가로수점,광주광역시 동구 광산동 77-3
20609,GS25,광주광역시 광산구 하남동 624
20610,이마트,광주광역시 서구 매월동 946
20611,세븐일레븐,광주광역시 서구 쌍촌동 969-4
20612,GS25,광주광역시 북구 동림동 1149-2
20613,쿠바하우스편의점,광주광역시 북구 오룡동 1-6
20614,CU,광주광역시 광산구 우산동 1610-2
20615,CU첨단중암점,광주광역시 광산구 쌍암동 694-1
20616,CU,광주광역시 남구 진월동 500-14
20617,GS,광주광역시 북구 운암동 130-1
20618,GS25,광주광역시 서구 풍암동 1187
20619,GS25,광주광역시 북구 각화동 505-9
20620,CU,광주광역시 서구 쌍촌동 964-49
20621,세븐일레븐광주운암고가,광주광역시 북구 운암동 489-13
20622,GS25,광주광역시 광산구 신가동 984-20
20623,GS25,광주광역시 북구 두암동 569-3
20624,세븐일레븐,광주광역시 남구 월산동 1003-62
20625,gs25,광주광역시 광산구 신창동 1227-1
20626,신가마트나들가게,광주광역시 광산구 신가동 874-2
20627,세븐일레븐,광주광역시 서구 쌍촌동 986-2
20628,GS25,광주광역시 북구 용두동 306
20629,미니스톱,광주광역시 북구 일곡동 828-6
20630,올더웨이24시마트,광주광역시 동구 금동 185-5
20631,데빌브라운,광주광역시 광산구 월곡동 679-12
20632,GS25,광주광역시 북구 풍향동 602-1
20633,GS25,광주광역시 북구 양산동 796
20634,세븐일레븐,광주광역시 서구 금호동 770-1
20635,미24무인편의점,광주광역시 남구 임암동 728
20636,GS25,광주광역시 서구 금호동 922-16
20637,세븐일레븐,광주광역시 광산구 비아동 712-1
20638,GS25,광주광역시 북구 용두동 1096
20639,CU,광주광역시 서구 유촌동 820-85
20640,세븐일레븐,광주광역시 광산구 우산동 1047-1
20641,위드미전남대상대점,광주광역시 북구 용봉동 1251-16
20642,슈퍼데이365마트,광주광역시 광산구 산월동 886-2
20643,코리아세븐광주신,광주광역시 광산구 오선동 254-6
20644,선진에스씨엠e-mart24상무선진점,광주광역시 서구 치평동 1320-6
20645,세븐일레븐,광주광역시 북구 각화동 587
20646,CU,광주광역시 동구 내남동 902
20647,미니스톱,광주광역시 광산구 진곡동 526
20648,GS25,광주광역시 서구 유촌동 844
20649,GS25,광주광역시 북구 문흥동 1010-1
20650,CU,광주광역시 동구 장동 103-14
20651,남부대학교국제수영장편의점,광주광역시 광산구 월계동 864-1
20652,CU,광주광역시 남구 임암동 728
20653,미니스톱,광주광역시 북구 두암동 288-7
20654,미니스톱,광주광역시 동구 대인동 175-1
20655,CU,광주광역시 광산구 산정동 1023
20656,이마트,광주광역시 광산구 월계동 776-6
20657,이마트,광주광역시 서구 동천동 529
20658,미니스톱,광주광역시 서구 치평동 1171-6
20659,CU,광주광역시 광산구 비아동 682-3
20660,이마트,광주광역시 동구 서석동 375
20661,CU,광주광역시 광산구 장덕동 992-9
20662,알리바이,광주광역시 광산구 소촌동 756-18
20663,코리아세븐광주두암제점,광주광역시 북구 두암동 840-14
20664,CU,광주광역시 광산구 쌍암동 665-5
20665,세븐일레븐,광주광역시 광산구 신창동 1126-3
20666,비지에프리테일마재,광주광역시 서구 금호동 787
20667,미니스톱,광주광역시 서구 풍암동 1063
20668,GS25,광주광역시 동구 동명동 100-9
20669,글로벌하우스,광주광역시 동구 서석동 375
20670,코리아세븐광주풍암2호,광주광역시 서구 풍암동 1111-6
20671,GS25,광주광역시 남구 월산동 948-12
20672,미니스톱,광주광역시 광산구 장덕동 1044
20673,미니스톱,광주광역시 북구 용봉동 9-16
20674,세븐일레븐,광주광역시 북구 우산동 4-6
20675,GS광주,광주광역시 동구 월남동 638
20676,GS25,광주광역시 광산구 운남동 387-34
20677,CU,광주광역시 광산구 산정동 962-1
20678,진도청과건어물,광주광역시 남구 봉선동 179-2
20679,세븐일레븐,광주광역시 북구 용봉동 478-6
20680,미니스톱,광주광역시 광산구 우산동 1574-6
20681,GS25송정도산점,광주광역시 광산구 도산동 1291-6
20682,CU,광주광역시 서구 쌍촌동 1337-3
20683,GS25,광주광역시 북구 본촌동 2912
20684,GS25,광주광역시 서구 치평동 1258-5
20685,GS25,광주광역시 남구 봉선동 984
20686,세븐일레븐,광주광역시 광산구 월곡동 55-13
20687,GS25용봉타운점,광주광역시 북구 용봉동 1255-21
20688,세븐일레븐용봉2호점,광주광역시 북구 용봉동 1378-1
20689,미니스톱,광주광역시 서구 금호동 868
20690,GS25S남광주역점,광주광역시 동구 학동 994
20691,보광훼미리마트동명중앙,광주광역시 동구 동명동 154-73
20790,미니스톱,광주광역시 광산구 우산동 1063-9
20791,세븐일레븐,광주광역시 광산구 산정동 1119
20792,GS25,광주광역시 북구 오룡동 1110-43
20793,GS25,광주광역시 광산구 신창동 1108-1
20794,GS25,광주광역시 북구 오룡동 1114-9
20795,CU상무미니점,광주광역시 서구 치평동 1181-2
20796,CU,광주광역시 남구 양림동 73-12
20797,GS25,광주광역시 북구 용봉동 693-16
20798,GS25,광주광역시 남구 양림동 506
20799,GS25,광주광역시 북구 일곡동 817-5
20800,미니스톱,광주광역시 북구 일곡동 841-4
20801,CU,광주광역시 북구 중흥동 320-1
20802,CU,광주광역시 광산구 쌍암동 695-1
20803,CU,광주광역시 광산구 월곡동 685-1
20804,GS25,광주광역시 북구 매곡동 83-1
20805,GS25,광주광역시 동구 지산동 510-12
20806,CUL-PS,광주광역시 광산구 월계동 893-9
20807,세븐일레븐,광주광역시 서구 농성동 166-10
20808,미니스톱,광주광역시 북구 운암동 116-3
20809,GS25,광주광역시 북구 일곡동 814-3
20810,미니스톱,광주광역시 광산구 옥동 221-3
20811,세븐일레븐,광주광역시 광산구 장덕동 1115
20812,GS25,광주광역시 북구 신용동 772
20813,우리마트,광주광역시 남구 봉선동 1010-1
20814,GS25,광주광역시 광산구 월전동 1237
20815,세븐일레븐,광주광역시 광산구 송정동 1003-189
20816,미니스톱,광주광역시 남구 덕남동 113
20817,애즈웰,광주광역시 북구 일곡동 828-2
20818,GS25,광주광역시 광산구 산정동 917-8
20819,넘버원피싱샵,광주광역시 광산구 오선동 621
20820,CU,광주광역시 광산구 비아동 626-2
20821,GS25,광주광역시 남구 봉선동 235-3
20822,미래편의점,광주광역시 광산구 운남동 456-112
20823,이마트,광주광역시 광산구 월계동 869-2
20824,올마트,광주광역시 북구 동림동 1146-1
20825,미니스톱,광주광역시 광산구 우산동 1586-4
20826,GS25,광주광역시 서구 치평동 1203-1
20827,세븐일레븐,광주광역시 남구 양림동 264
20828,GS25,광주광역시 광산구 신촌동 698-9
20829,코리아세븐광주운암,광주광역시 북구 운암동 110-43
20830,Y-MART생활공감양산점,광주광역시 북구 용두동 311-8
20831,알리바이,광주광역시 북구 양산동 851
20832,24시편의점,광주광역시 동구 학동 664-10
20833,미니스톱,광주광역시 동구 궁동 55-2
20834,GS25주월에이스점,광주광역시 남구 주월동 971-6
20835,CU,광주광역시 북구 운암동 479-30
20836,GS25,광주광역시 광산구 도산동 1294-10
